Latitude,Longitude,Desc
34.023632376769456,-118.28511700002844,University of Southern California
34.42564909315236,-118.59728347347131,Six Flags Magic Mountain
33.89798858634679,-118.11719621522839,El Casa De La Ryan
33.81227897942717,-117.91890982872211,Disneyland
33.98438615083744,-118.31588656877028,Place where they filmed Boyz n the hood
34.11855843112458,-118.30031839987977,Griffith Observatory
33.93179112471376,-118.13175205094903,7 Leaves Cafe
34.07637485080113,-118.35697177744684,Los Angeles County Museum of Art
33.95514609872021,-118.41190341798263,A Bad Airport
34.02242222470049,-118.29180993799379,Taco Bell

